model,val_rmse,val_mae,val_r2,train_rmse,train_mae,train_r2
random_forest,5.509477789358114,3.9355895502534572,0.8874812825817612,2.2734951422456713,1.462951626392275,0.9803739939057475
ridge,8.129384044912287,6.3451662347237825,0.7550264580765235,7.805004394906026,6.012009175097987,0.7686922564119152
linear_regression,8.136315546653577,6.3504427562849814,0.7546085276562688,7.804691131732373,6.01320364843726,0.7687108236644221
